symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2024-12-12 18:45:00+00:00,248.5,248.57,248.425,248.52,16437.0,249.0,248.497158
AAPL,2024-12-12 19:00:00+00:00,248.55,248.73,248.42,248.445,19420.0,269.0,248.563241
AAPL,2024-12-12 19:15:00+00:00,248.455,248.49,248.01,248.01,15195.0,254.0,248.294601
AAPL,2024-12-12 19:30:00+00:00,248.02,248.19,247.81,247.97,9737.0,169.0,248.048313
AAPL,2024-12-12 19:45:00+00:00,248.06,248.095,247.915,247.935,6935.0,164.0,248.015323
AAPL,2024-12-12 20:00:00+00:00,247.94,247.94,247.47,247.6,10699.0,203.0,247.654378
AAPL,2024-12-12 20:15:00+00:00,247.595,247.88,247.585,247.715,18914.0,293.0,247.707901
AAPL,2024-12-12 20:30:00+00:00,247.76,248.12,247.745,247.91,17503.0,284.0,247.930465
AAPL,2024-12-12 20:45:00+00:00,247.92,248.2,247.92,248.02,97329.0,1067.0,248.079728
AAPL,2024-12-13 14:30:00+00:00,247.91,249.245,247.84,248.92,48172.0,661.0,248.44454
AAPL,2024-12-13 14:45:00+00:00,249.045,249.06,248.15,248.34,55222.0,453.0,248.48836
AAPL,2024-12-13 15:00:00+00:00,248.35,248.35,247.56,247.77,36999.0,384.0,247.95218
AAPL,2024-12-13 15:15:00+00:00,247.7,247.8,247.37,247.555,26375.0,325.0,247.55281
AAPL,2024-12-13 15:30:00+00:00,247.58,247.945,247.17,247.35,19431.0,297.0,247.514423
AAPL,2024-12-13 15:45:00+00:00,247.31,247.61,246.98,247.24,24681.0,339.0,247.188589
AAPL,2024-12-13 16:00:00+00:00,247.24,247.29,246.57,246.61,23545.0,334.0,246.829985
AAPL,2024-12-13 16:15:00+00:00,246.64,247.1,246.52,246.635,17106.0,272.0,246.850702
AAPL,2024-12-13 16:30:00+00:00,246.62,246.995,246.475,246.67,60648.0,356.0,246.662454
AAPL,2024-12-13 16:45:00+00:00,246.55,246.775,246.42,246.715,22209.0,242.0,246.542019
AAPL,2024-12-13 17:00:00+00:00,246.685,246.725,246.36,246.4,30243.0,275.0,246.470286
AAPL,2024-12-13 17:15:00+00:00,246.33,246.58,246.25,246.45,11470.0,128.0,246.439224
AAPL,2024-12-13 17:30:00+00:00,246.43,246.855,246.345,246.665,15626.0,175.0,246.58939
AAPL,2024-12-13 17:45:00+00:00,246.675,246.77,246.505,246.58,15843.0,169.0,246.654564
AAPL,2024-12-13 18:00:00+00:00,246.565,246.88,246.565,246.77,13165.0,133.0,246.764101
AAPL,2024-12-13 18:15:00+00:00,246.75,247.25,246.73,247.19,34510.0,225.0,246.913272
AAPL,2024-12-13 18:30:00+00:00,247.175,247.6,247.175,247.595,6253.0,102.0,247.421038
AAPL,2024-12-13 18:45:00+00:00,247.585,247.87,247.585,247.84,9817.0,132.0,247.709617
AAPL,2024-12-13 19:00:00+00:00,247.83,247.995,247.625,247.625,17508.0,211.0,247.779054
AAPL,2024-12-13 19:15:00+00:00,247.65,247.94,247.65,247.92,6955.0,157.0,247.776135
AAPL,2024-12-13 19:30:00+00:00,247.91,248.02,247.81,247.82,15440.0,225.0,247.918301
AAPL,2024-12-13 19:45:00+00:00,247.825,247.94,247.645,247.855,10244.0,161.0,247.776635
AAPL,2024-12-13 20:00:00+00:00,247.86,247.985,247.83,247.98,11820.0,168.0,247.887334
AAPL,2024-12-13 20:15:00+00:00,247.965,248.1,247.78,248.02,22163.0,298.0,247.951418
AAPL,2024-12-13 20:30:00+00:00,248.0,248.275,247.955,248.06,23455.0,318.0,248.103482
AAPL,2024-12-13 20:45:00+00:00,248.085,248.29,247.9,248.08,59797.0,908.0,248.115604
AAPL,2024-12-16 14:30:00+00:00,247.955,249.99,247.73,249.6,76071.0,633.0,249.468769
AAPL,2024-12-16 14:45:00+00:00,249.75,249.8,248.535,248.62,35894.0,471.0,248.918989
AAPL,2024-12-16 15:00:00+00:00,248.615,249.2,248.5,249.16,26078.0,384.0,248.910544
AAPL,2024-12-16 15:15:00+00:00,249.18,249.23,248.75,249.08,20572.0,314.0,249.075826
AAPL,2024-12-16 15:30:00+00:00,248.98,249.465,248.84,249.215,17358.0,301.0,249.162712
AAPL,2024-12-16 15:45:00+00:00,249.205,249.48,249.12,249.3,21410.0,315.0,249.306194
AAPL,2024-12-16 16:00:00+00:00,249.33,249.935,249.19,249.84,25530.0,353.0,249.608432
AAPL,2024-12-16 16:15:00+00:00,249.835,249.955,249.62,249.67,43941.0,424.0,249.763626
AAPL,2024-12-16 16:30:00+00:00,249.69,249.89,249.54,249.875,28511.0,284.0,249.771717
AAPL,2024-12-16 16:45:00+00:00,249.84,250.285,249.79,250.275,134397.0,903.0,250.027243
AAPL,2024-12-16 17:00:00+00:00,250.275,250.29,249.79,250.105,46701.0,402.0,250.089973
AAPL,2024-12-16 17:15:00+00:00,250.115,250.21,249.86,249.99,50464.0,256.0,250.095783
AAPL,2024-12-16 17:30:00+00:00,250.06,250.64,250.06,250.64,17561.0,235.0,250.329667
AAPL,2024-12-16 17:45:00+00:00,250.63,251.355,250.51,251.27,36996.0,409.0,250.931592
AAPL,2024-12-16 18:00:00+00:00,251.22,251.23,250.77,251.115,23182.0,404.0,250.963424
AAPL,2024-12-16 18:15:00+00:00,251.13,251.26,250.98,251.1,16224.0,191.0,251.078516
AAPL,2024-12-16 18:30:00+00:00,251.075,251.085,250.58,251.08,22053.0,282.0,250.829842
AAPL,2024-12-16 18:45:00+00:00,251.18,251.23,250.87,250.9,13588.0,179.0,251.016012
AAPL,2024-12-16 19:00:00+00:00,250.86,251.08,250.76,251.08,22008.0,233.0,250.957285
AAPL,2024-12-16 19:15:00+00:00,251.16,251.2,250.81,250.84,17402.0,247.0,251.04392
AAPL,2024-12-16 19:30:00+00:00,250.81,250.955,250.71,250.955,17217.0,215.0,250.830225
AAPL,2024-12-16 19:45:00+00:00,250.92,250.985,250.72,250.88,32388.0,384.0,250.902019
AAPL,2024-12-16 20:00:00+00:00,250.72,250.72,250.22,250.49,18026.0,299.0,250.468295
AAPL,2024-12-16 20:15:00+00:00,250.505,250.75,250.33,250.71,20278.0,246.0,250.49178
AAPL,2024-12-16 20:30:00+00:00,250.725,250.79,250.25,250.25,26987.0,362.0,250.58342
AAPL,2024-12-16 20:45:00+00:00,250.14,251.1,249.965,251.03,115286.0,1304.0,250.677824
AAPL,2024-12-17 14:30:00+00:00,250.19,252.855,249.87,252.79,88027.0,973.0,251.453459
AAPL,2024-12-17 14:45:00+00:00,252.77,252.97,251.94,252.04,78366.0,726.0,252.537473
AAPL,2024-12-17 15:00:00+00:00,252.04,252.59,251.86,251.97,64411.0,850.0,252.180335
AAPL,2024-12-17 15:15:00+00:00,251.98,252.51,251.89,252.29,49159.0,700.0,252.197729
AAPL,2024-12-17 15:30:00+00:00,252.29,252.38,251.78,252.35,45523.0,614.0,252.162406
AAPL,2024-12-17 15:45:00+00:00,252.355,252.65,252.12,252.35,50168.0,559.0,252.387382
AAPL,2024-12-17 16:00:00+00:00,252.335,253.34,252.25,253.08,69956.0,769.0,252.772985
AAPL,2024-12-17 16:15:00+00:00,253.04,253.045,252.31,252.55,101242.0,687.0,252.62066
AAPL,2024-12-17 16:30:00+00:00,252.53,252.95,252.49,252.82,38009.0,375.0,252.71752
AAPL,2024-12-17 16:45:00+00:00,252.82,253.08,252.77,253.07,44881.0,540.0,252.939728
AAPL,2024-12-17 17:00:00+00:00,253.085,253.225,252.815,252.865,37069.0,424.0,253.025185
AAPL,2024-12-17 17:15:00+00:00,252.84,253.3,252.59,253.22,44035.0,550.0,253.04842
AAPL,2024-12-17 17:30:00+00:00,253.23,253.28,252.88,252.89,55189.0,697.0,253.065978
AAPL,2024-12-17 17:45:00+00:00,252.885,253.04,252.81,252.93,26207.0,415.0,252.914252
AAPL,2024-12-17 18:00:00+00:00,252.83,253.04,252.73,252.93,21083.0,330.0,252.877398
AAPL,2024-12-17 18:15:00+00:00,252.96,253.18,252.835,253.115,30611.0,434.0,252.998545
AAPL,2024-12-17 18:30:00+00:00,253.15,253.62,253.095,253.6,29606.0,414.0,253.327908
AAPL,2024-12-17 18:45:00+00:00,253.59,253.59,253.25,253.32,27909.0,351.0,253.393659
